Drug1,Drug1 Description,Drug2,Drug2 Description,Interaction Risk (1-10)
Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",5
Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",6
Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",10
Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",7
Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",9
Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",1
Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",10
Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",2
Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",5
Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",9
Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",3
Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",4
Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",5
Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",9
Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",7
Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",5
Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",9
Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",8
Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",6
Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",8
Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",5
Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",5
Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",2
Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",4
Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",7
Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",8
Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",6
Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",2
Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",2
Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",5
Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",7
Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",10
Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",5
Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",4
Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",6
Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",8
Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",4
Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",10
Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",10
Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",5
Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",10
Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",9
Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",8
Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",10
Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",1
Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",10
Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",6
Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",4
Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",2
Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",3
Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",4
Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",6
Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",7
Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",5
Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",2
Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",9
Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",10
Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",5
Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",4
Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",1
Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",3
Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",5
Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",6
Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",4
Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",7
Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",5
Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",4
Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",9
Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",3
Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",4
Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",2
Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",8
Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",4
Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",8
Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",2
Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",1
Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",5
